country_name,location,time,beef,sheep,meat_total,mortality,hospital_bed,color1,marker1,color2,marker2
Argentina,ARG,2017,39.575,0.969,40.544,16.2,4.99,red,14,red,14
Australia,AUS,2017,21.251,7.755,29.006,8.7,3.84,green,14,grey,10
Brazil,BRA,2017,25.373,0.532,25.905,15.8,2.09,red,14,grey,10
Canada,CAN,2017,18.273,0.971,19.244,10.1,2.53,grey,10,grey,10
Switzerland,CHE,2017,13.415,1.203,14.618,8.2,4.65,grey,10,grey,10
Chile,CHL,2017,17.548,0.429,17.977,10.6,2.11,grey,10,grey,10
China,CHN,2017,3.523,3.049,6.572,16.3,4.31,grey,10,grey,10
Colombia,COL,2017,10.49,0.141,10.631,10.2,1.7,grey,10,grey,10
"Egypt, Arab Rep.",EGY,2017,8.176,1.131,9.307,28.1,1.43,grey,10,grey,10
Ethiopia,ETH,2017,2.611,0.469,3.08,17.2,0.33,grey,10,grey,10
United Kingdom,GBR,2017,11.706,4.03,15.736,10.8,2.54,grey,10,grey,10
Indonesia,IDN,2017,1.89,0.425,2.315,25.2,1.04,blue,14,blue,14
India,IND,2017,0.427,0.468,0.895,22.2,0.53,grey,10,grey,10
"Iran, Islamic Rep.",IRN,2017,5.459,4.055,9.514,15.1,1.56,grey,10,grey,10
Israel,ISR,2017,20.909,1.48,22.389,9,3.02,grey,10,grey,10
Japan,JPN,2017,7.001,0.153,7.154,8.6,13.05,grey,10,grey,10
Kazakhstan,KAZ,2017,19.155,8.247,27.402,24.1,6.06,red,14,red,14
"Korea, Rep.",KOR,2017,10.441,0.331,10.772,7.8,12.27,grey,10,grey,10
Mexico,MEX,2017,9.162,0.529,9.691,15.7,0.99,grey,10,grey,10
Malaysia,MYS,2017,5.219,1.2,6.419,18.1,1.88,grey,10,grey,10
Nigeria,NGA,2017,1.368,1.832,3.2,17.3,0.5,grey,10,grey,10
Norway,NOR,2017,13.71,4.695,18.405,9.2,3.6,grey,10,grey,10
New Zealand,NZL,2017,12.063,5.293,17.356,10.9,2.73,grey,10,grey,10
Pakistan,PAK,2017,6.514,2.086,8.6,30.1,0.63,grey,10,grey,10
Peru,PER,2017,4.229,1.067,5.296,9.9,1.59,grey,10,grey,10
Philippines,PHL,2017,3.162,0.512,3.674,24.6,0.99,grey,10,grey,10
Paraguay,PRY,2017,14.143,0.515,14.658,16.5,0.83,grey,10,grey,10
Russian Federation,RUS,2017,9.842,1.317,11.159,25.4,8.05,grey,10,red,14
Saudi Arabia,SAU,2017,3.715,4.659,8.374,21.8,2.24,grey,10,grey,10
Thailand,THA,2017,1.389,0.043,1.432,13.8,2.1,grey,10,grey,10
Turkiye,TUR,2017,8.599,4.376,12.975,15.9,2.81,grey,10,grey,10
Ukraine,UKR,2017,5.016,0.269,5.285,25.1,7.46,grey,10,red,14
United States,USA,2017,25.939,0.48,26.419,13.8,2.87,red,14,grey,10
Vietnam,VNM,2017,10.584,0.159,10.743,21.6,2.6,grey,10,grey,10
